in s,C1 in V,C2 in V,C3 in V,C4 in V
-4.4863104E-02,1.43359E-02,8.86719E-02,-1.46484E-03,4.92578E-02
-4.4862416E-02,-2.47266E-02,1.86328E-01,-4.88281E-04,2.97266E-02
-4.4861728E-02,2.41016E-02,-3.01953E-01,-4.88281E-04,3.94922E-02
-4.4861040E-02,-2.47266E-02,-3.01953E-01,-4.88281E-04,1.01953E-02
-4.4860352E-02,-4.42578E-02,-5.94922E-01,-1.46484E-03,1.99609E-02
-4.4859664E-02,-2.47266E-02,-2.04297E-01,-3.41797E-03,2.97266E-02
-4.4858976E-02,-1.49609E-02,-6.92578E-01,-5.37109E-03,1.99609E-02
-4.4858288E-02,-1.49609E-02,-2.04297E-01,-4.39453E-03,1.99609E-02
-4.4857600E-02,2.41016E-02,-1.06641E-01,-2.44141E-03,2.97266E-02
-4.4856912E-02,4.57031E-03,-8.98437E-03,-3.41797E-03,1.99609E-02
-4.4856224E-02,-5.19531E-03,8.86719E-02,-1.46484E-03,4.29687E-04
-4.4855536E-02,-1.49609E-02,-2.04297E-01,-2.44141E-03,4.29687E-04
-4.4854848E-02,-5.19531E-03,-1.06641E-01,4.88281E-04,2.97266E-02
-4.4854160E-02,-1.49609E-02,-1.06641E-01,-2.44141E-03,2.97266E-02
-4.4853472E-02,-1.49609E-02,8.86719E-02,-3.41797E-03,2.97266E-02
-4.4852784E-02,1.43359E-02,8.86719E-02,-4.88281E-04,3.94922E-02
-4.4852096E-02,-5.19531E-03,-2.04297E-01,-3.41797E-03,1.99609E-02
-4.4851408E-02,-5.19531E-03,8.86719E-02,-4.88281E-04,1.99609E-02
-4.4850720E-02,-2.47266E-02,-3.99609E-01,4.88281E-04,1.01953E-02
-4.4850032E-02,4.57031E-03,-1.06641E-01,-2.44141E-03,4.92578E-02
-4.4849344E-02,-1.49609E-02,-2.04297E-01,-4.39453E-03,2.97266E-02
-4.4848656E-02,-5.19531E-03,-8.98437E-03,-4.88281E-04,3.94922E-02
-4.4847968E-02,-2.47266E-02,-8.98437E-03,-3.41797E-03,3.94922E-02
-4.4847280E-02,-5.19531E-03,-4.97266E-01,-2.44141E-03,1.01953E-02
-4.4846592E-02,-1.49609E-02,-2.04297E-01,-2.44141E-03,1.99609E-02
-4.4845904E-02,-1.49609E-02,-3.01953E-01,-1.46484E-03,-9.33594E-03
-4.4845216E-02,-1.49609E-02,-8.98437E-03,-4.88281E-04,1.01953E-02
-4.4844528E-02,-1.49609E-02,-2.04297E-01,4.88281E-04,4.29687E-04
-4.4843840E-02,-1.49609E-02,-1.06641E-01,-3.41797E-03,1.01953E-02
-4.4843152E-02,-3.44922E-02,-8.98437E-03,1.46484E-03,1.99609E-02
-4.4842464E-02,-1.49609E-02,-1.06641E-01,-3.41797E-03,6.87891E-02
-4.4841776E-02,-4.42578E-02,8.86719E-02,-4.88281E-04,5.90234E-02
-4.4841088E-02,-2.47266E-02,-1.06641E-01,-1.46484E-03,1.99609E-02
-4.4840400E-02,-1.49609E-02,1.86328E-01,4.88281E-04,1.99609E-02
-4.4839712E-02,1.43359E-02,-1.06641E-01,4.88281E-04,1.01953E-02
-4.4839024E-02,-3.44922E-02,-2.04297E-01,-4.88281E-04,2.97266E-02
-4.4838336E-02,2.41016E-02,-3.01953E-01,-3.41797E-03,1.99609E-02
-4.4837648E-02,1.43359E-02,-2.04297E-01,-3.41797E-03,4.29687E-04
-4.4836960E-02,-1.49609E-02,-1.06641E-01,-1.46484E-03,4.29687E-04
-4.4836272E-02,1.43359E-02,-1.06641E-01,-4.88281E-04,1.99609E-02
-4.4835584E-02,-1.49609E-02,-2.04297E-01,-1.46484E-03,1.01953E-02
-4.4834896E-02,-3.44922E-02,8.86719E-02,-4.88281E-04,1.99609E-02
-4.4834208E-02,-2.47266E-02,-2.04297E-01,-4.88281E-04,1.99609E-02
-4.4833520E-02,4.57031E-03,-3.99609E-01,-1.46484E-03,4.92578E-02
-4.4832832E-02,-1.49609E-02,-3.01953E-01,-5.37109E-03,1.99609E-02
-4.4832144E-02,4.57031E-03,1.86328E-01,-4.88281E-04,4.92578E-02
-4.4831456E-02,-4.42578E-02,1.86328E-01,-1.46484E-03,-1.91016E-02
-4.4830768E-02,-1.49609E-02,-8.98437E-03,-3.41797E-03,1.01953E-02
-4.4830080E-02,4.57031E-03,-2.04297E-01,-2.44141E-03,1.01953E-02
-4.4829392E-02,-1.49609E-02,8.86719E-02,4.88281E-04,1.99609E-02
-4.4828704E-02,-1.49609E-02,-1.06641E-01,-3.41797E-03,1.99609E-02
-4.4828016E-02,-1.49609E-02,-2.04297E-01,-1.46484E-03,1.99609E-02
-4.4827328E-02,-5.19531E-03,-2.04297E-01,-4.88281E-04,1.01953E-02
-4.4826640E-02,-1.49609E-02,-8.98437E-03,-1.46484E-03,4.92578E-02
-4.4825952E-02,-5.19531E-03,-2.04297E-01,-3.41797E-03,1.01953E-02
-4.4825264E-02,-5.19531E-03,-1.06641E-01,-1.46484E-03,2.97266E-02
-4.4824576E-02,-5.19531E-03,-8.98437E-03,-3.41797E-03,1.99609E-02
-4.4823888E-02,-5.19531E-03,-2.04297E-01,-3.41797E-03,2.97266E-02
-4.4823200E-02,-2.47266E-02,1.86328E-01,-1.46484E-03,1.99609E-02
-4.4822512E-02,4.57031E-03,8.86719E-02,1.46484E-03,1.01953E-02
